Date,tirupati rooms,tirupati temple history,venkateswara yt,venkateswara swamy,tirupati darshan timings,tirumala,train to tirupati,tirupati,tirupati train,kanipakam,tirupati distance,kalahasti,ttd,Pilgrims
08-06-2014,27,0,34,10,42,45,69,44,67,18,41,39,8,501223
15-06-2014,17,0,50,13,22,44,77,48,66,21,47,41,9,496467
22-06-2014,23,42,35,11,37,50,70,43,66,32,43,51,9,482229
29-06-2014,18,22,59,16,30,48,81,44,58,40,43,53,9,461306
06-07-2014,27,45,31,12,30,53,75,45,61,38,39,66,9,464092
13-07-2014,27,41,41,15,64,55,79,50,62,31,39,54,10,459427
20-07-2014,23,0,45,20,36,57,61,49,66,29,53,67,11,471172
27-07-2014,22,0,60,16,56,64,66,48,59,45,46,48,13,493224
03-08-2014,27,0,53,18,37,58,75,51,66,33,43,37,11,442950
10-08-2014,9,60,54,17,45,61,77,54,67,25,45,50,12,485397
17-08-2014,13,40,73,12,42,64,73,53,62,33,42,53,17,462940
24-08-2014,25,22,46,18,26,63,54,49,56,83,42,54,16,414849
31-08-2014,22,30,48,12,33,58,65,53,64,57,47,48,17,405333
07-09-2014,20,0,49,18,100,61,64,46,59,53,40,60,16,464813
14-09-2014,36,50,77,17,39,70,56,55,62,35,43,63,17,456214
21-09-2014,17,0,39,10,55,65,66,48,64,29,41,43,17,359112
28-09-2014,36,28,46,20,36,73,85,51,64,42,40,42,18,506019
05-10-2014,19,53,55,16,14,60,68,48,61,40,37,51,18,471799
12-10-2014,34,27,59,14,37,58,65,47,58,46,43,60,20,437335
19-10-2014,30,30,58,19,23,56,72,47,62,26,43,54,18,442807
26-10-2014,13,26,91,20,34,72,71,49,59,53,46,70,21,427975
02-11-2014,48,44,42,16,28,61,81,50,67,35,45,59,18,412901
09-11-2014,25,69,69,20,49,64,77,53,73,40,47,61,16,352384
16-11-2014,36,42,84,21,40,70,81,55,62,43,51,56,21,413028
23-11-2014,27,0,67,22,25,72,87,60,72,43,49,64,24,428689
30-11-2014,13,55,61,17,0,76,83,59,71,34,50,65,24,401679
07-12-2014,34,0,65,19,0,69,92,62,66,29,46,61,25,413665
14-12-2014,32,19,71,22,32,81,67,62,76,49,47,58,36,386140
21-12-2014,7,26,64,20,69,91,82,58,69,32,55,56,36,428383
28-12-2014,9,31,100,29,17,76,62,46,62,37,42,40,22,392647
04-01-2015,25,70,75,20,51,70,71,55,63,34,45,44,24,390426
11-01-2015,28,18,69,21,0,66,63,54,56,30,46,62,20,441681
18-01-2015,41,17,64,15,51,65,74,52,61,26,44,66,20,405904
25-01-2015,23,51,80,18,51,63,81,45,53,33,43,52,19,435714
01-02-2015,23,45,32,14,44,64,66,57,60,40,51,60,21,400789
08-02-2015,26,18,61,17,32,64,68,48,59,22,47,60,18,430341
15-02-2015,18,45,45,17,68,64,67,50,62,27,43,64,19,392694
22-02-2015,29,20,52,16,33,58,70,49,62,31,51,53,20,426358
01-03-2015,46,26,43,18,50,69,78,53,66,34,50,61,24,432944
08-03-2015,25,0,38,16,30,67,66,51,69,38,50,60,25,441941
15-03-2015,31,63,23,19,22,60,61,48,56,25,41,49,21,430885
22-03-2015,28,45,37,15,30,62,72,48,59,23,46,60,21,447732
29-03-2015,39,27,45,17,48,71,74,59,73,37,51,70,24,425021
05-04-2015,32,0,62,22,44,65,75,54,64,42,51,49,22,433719
12-04-2015,36,21,59,15,14,59,67,50,60,26,37,46,21,451495
19-04-2015,47,43,63,19,44,60,79,48,61,36,47,52,19,467260
26-04-2015,36,23,43,17,47,63,78,54,61,30,48,56,20,498296
03-05-2015,11,0,75,16,52,62,82,51,69,31,47,69,18,498716
10-05-2015,69,22,53,19,54,63,84,55,70,29,48,57,18,531673
17-05-2015,27,34,64,16,13,65,75,51,67,40,51,60,19,551934
24-05-2015,0,100,50,16,38,62,77,53,67,34,45,43,17,554518
31-05-2015,22,0,55,17,28,64,77,55,69,44,55,44,18,559536
07-06-2015,37,21,42,17,31,68,87,61,70,45,58,58,22,592416
14-06-2015,24,48,71,13,36,70,91,58,70,35,55,67,23,548262
21-06-2015,54,20,79,17,56,64,83,55,71,24,50,61,22,531430
28-06-2015,59,0,73,15,17,68,77,54,71,47,53,47,21,531819
05-07-2015,29,44,80,17,52,67,82,52,66,30,53,55,23,545222
12-07-2015,36,0,63,16,42,64,100,54,76,33,56,46,17,511422
19-07-2015,29,34,54,13,36,65,81,49,64,32,46,57,16,523832
26-07-2015,30,57,53,13,24,53,68,49,61,28,44,48,18,484492
02-08-2015,59,33,56,20,22,61,70,51,60,42,48,48,23,476105
09-08-2015,27,50,55,14,47,51,77,48,69,39,47,53,17,496882
16-08-2015,29,69,54,19,17,60,62,53,61,39,48,52,18,517001
23-08-2015,59,17,60,16,30,55,73,51,60,36,45,36,16,475799
30-08-2015,43,16,55,18,39,55,77,44,61,39,48,43,24,520775
06-09-2015,53,23,56,19,33,55,63,46,54,35,47,47,18,486131
13-09-2015,41,72,38,16,41,58,63,45,55,78,41,48,15,438731
20-09-2015,16,35,53,20,21,71,58,50,60,56,45,49,18,479217
27-09-2015,42,70,53,21,32,93,66,50,66,49,45,47,21,586208
04-10-2015,27,21,57,16,13,55,60,45,56,35,45,38,16,477429
11-10-2015,32,17,51,16,0,51,66,41,54,31,43,37,13,544943
18-10-2015,47,53,62,18,25,56,65,49,60,43,50,43,14,496997
25-10-2015,31,38,56,16,59,54,66,48,54,34,56,48,17,457351
01-11-2015,46,65,54,16,24,64,70,49,67,37,60,49,25,397006
08-11-2015,27,12,46,20,36,63,72,48,60,42,53,52,17,425474
15-11-2015,23,37,68,19,0,74,84,61,69,36,50,50,15,341855
22-11-2015,41,57,36,19,15,82,60,62,58,33,49,38,18,382296
29-11-2015,39,84,70,17,18,69,70,54,64,40,51,45,19,353864
06-12-2015,35,38,60,19,0,61,65,47,58,44,46,48,17,420572
13-12-2015,49,33,65,21,19,72,83,51,76,32,55,44,26,428598
20-12-2015,48,33,86,35,46,81,87,60,84,56,65,92,20,528501
27-12-2015,46,42,53,21,33,69,77,59,76,50,58,53,17,477097
03-01-2016,23,24,60,20,0,60,58,48,54,28,51,51,25,434584
10-01-2016,34,0,44,15,15,52,65,44,56,42,41,46,13,469812
17-01-2016,37,14,46,15,27,55,56,48,55,30,53,51,14,469408
24-01-2016,26,0,52,23,21,54,59,45,53,42,46,57,14,461974
31-01-2016,27,0,49,19,21,61,51,45,52,33,44,50,22,422062
07-02-2016,25,32,55,21,15,56,57,45,53,39,43,53,13,467543
14-02-2016,39,26,48,19,0,54,51,46,52,32,43,44,12,481634
21-02-2016,9,18,65,20,9,55,60,50,55,36,51,45,14,462651
28-02-2016,39,0,51,18,38,59,67,52,64,48,46,56,20,453155
06-03-2016,59,35,30,16,33,52,54,48,61,30,45,60,14,417840
13-03-2016,42,20,32,17,41,48,61,45,56,39,51,44,14,441825
20-03-2016,34,41,37,16,56,58,55,48,54,42,49,62,13,501858
27-03-2016,42,42,42,19,11,58,50,41,53,30,46,48,19,469024
03-04-2016,39,37,45,16,18,58,62,51,54,35,44,59,14,454509
10-04-2016,35,51,44,17,18,53,59,45,54,26,41,58,12,492507
17-04-2016,50,14,41,19,18,52,51,46,48,33,46,39,11,468225
24-04-2016,36,26,43,16,21,51,63,46,55,31,45,53,10,503180
01-05-2016,41,35,39,18,34,56,62,50,56,40,51,57,19,534044
08-05-2016,39,34,52,17,20,53,70,48,72,44,49,48,13,532941
15-05-2016,45,16,47,17,11,52,72,46,63,31,54,47,12,562714
22-05-2016,50,34,52,17,0,53,67,52,69,43,58,57,14,584496
29-05-2016,39,30,43,20,46,67,71,50,70,42,55,51,26,610910
05-06-2016,43,40,45,18,45,66,82,57,71,44,64,60,15,590707
12-06-2016,56,21,48,20,29,55,61,56,59,31,56,57,18,593650
19-06-2016,52,52,58,21,32,60,69,52,64,38,55,56,18,562639
26-06-2016,53,50,62,15,24,63,64,54,62,41,56,49,23,546864
03-07-2016,60,66,58,15,41,65,74,54,73,49,60,56,18,548340
10-07-2016,50,12,67,22,55,63,63,51,62,40,50,43,16,524258
17-07-2016,42,40,67,18,9,61,62,48,64,37,56,46,14,559098
24-07-2016,31,52,62,22,0,53,57,46,61,40,53,66,14,514138
31-07-2016,26,22,48,20,23,55,54,45,56,33,51,49,17,499791
07-08-2016,53,28,52,22,21,55,60,50,59,30,51,57,14,531542
14-08-2016,31,69,26,17,25,49,56,46,61,34,45,53,12,553426
21-08-2016,40,23,47,20,30,53,57,50,55,39,55,45,12,546095
28-08-2016,32,32,47,19,34,55,55,47,66,46,46,48,15,477844
04-09-2016,46,54,47,20,14,52,61,48,64,81,52,53,12,532250
11-09-2016,39,54,52,19,14,53,59,50,63,40,43,58,14,553906
18-09-2016,34,36,57,21,25,58,54,48,64,40,43,60,14,505417
25-09-2016,29,29,45,17,22,46,39,38,51,37,34,45,14,556031
02-10-2016,41,37,45,22,24,57,62,44,67,25,45,53,17,565739
09-10-2016,45,18,45,22,26,58,59,42,68,36,43,38,15,642517
16-10-2016,25,36,42,20,14,51,55,43,66,35,39,42,16,525612
23-10-2016,24,27,51,15,15,46,58,42,56,37,41,51,13,458301
30-10-2016,37,44,32,25,33,64,61,48,76,32,46,59,23,533609
06-11-2016,29,34,51,24,9,44,50,48,64,36,41,53,14,482327
13-11-2016,36,40,49,24,36,47,58,42,61,40,39,64,13,458771
20-11-2016,34,34,39,25,23,49,56,44,63,42,49,61,13,484399
27-11-2016,37,19,45,25,22,54,66,42,63,42,41,55,18,463571
04-12-2016,40,26,43,20,36,44,67,46,70,50,49,48,14,483043
11-12-2016,55,12,49,21,15,54,59,50,72,33,49,39,15,427974
18-12-2016,36,23,34,24,32,59,72,50,72,42,50,48,17,476481
25-12-2016,41,24,54,23,27,56,68,48,82,50,49,41,16,551385
01-01-2017,27,38,57,28,42,58,67,56,75,46,51,36,21,457076
08-01-2017,41,48,91,40,26,62,71,53,73,48,48,36,15,497843
15-01-2017,29,20,51,21,30,55,70,45,70,42,47,55,14,519085
22-01-2017,18,25,42,21,38,54,65,51,64,41,42,63,13,499445
29-01-2017,39,33,59,25,0,56,64,47,60,35,39,71,18,477181
05-02-2017,32,0,59,28,25,53,60,44,64,43,44,64,14,493434
12-02-2017,29,21,65,27,33,55,68,48,67,36,48,55,13,489642
19-02-2017,50,25,58,26,33,59,68,52,72,32,49,77,14,482842
26-02-2017,28,27,60,25,20,57,66,50,64,32,46,70,18,466644
05-03-2017,34,30,57,20,24,56,62,49,64,38,47,55,14,480630
12-03-2017,34,30,70,25,42,61,62,51,72,41,49,47,15,495635
19-03-2017,35,42,53,22,37,61,58,52,72,29,41,52,14,496530
26-03-2017,30,52,46,31,11,100,55,64,75,36,39,54,16,490574
02-04-2017,42,0,47,27,36,67,67,53,70,34,45,46,20,523460
09-04-2017,26,24,60,26,18,57,63,55,75,47,40,53,14,542943
16-04-2017,39,0,42,27,42,56,63,51,68,46,43,56,13,534746
23-04-2017,41,12,55,25,28,57,60,55,74,27,41,54,13,535895
30-04-2017,37,53,37,22,40,59,69,54,77,38,45,60,19,568331
07-05-2017,48,21,24,18,36,59,70,57,90,41,49,56,14,549239
14-05-2017,47,30,40,22,21,56,75,60,83,36,53,66,14,588219
21-05-2017,25,0,33,23,35,60,81,59,87,52,52,55,16,645260
28-05-2017,48,26,50,23,23,63,75,59,85,47,51,54,17,638821
04-06-2017,43,26,49,26,32,58,77,57,86,51,53,54,14,610747
11-06-2017,47,36,54,26,27,60,85,60,86,45,47,55,21,603012
18-06-2017,55,35,49,26,35,65,85,66,89,45,52,64,17,577557
25-06-2017,46,12,60,28,41,63,78,60,90,42,50,60,16,600499
02-07-2017,46,31,74,30,24,66,65,57,82,44,49,48,21,547778
09-07-2017,43,0,61,26,41,62,64,60,85,50,52,53,19,548135
16-07-2017,53,29,50,27,28,56,65,56,83,42,49,48,16,550035
23-07-2017,54,38,62,30,21,57,71,55,81,41,45,52,14,527374
30-07-2017,55,22,69,27,33,61,65,58,77,34,49,55,15,488577
06-08-2017,43,34,37,26,30,66,83,61,90,52,49,55,17,499782
13-08-2017,54,21,35,26,28,63,77,57,82,51,54,60,13,569704
20-08-2017,28,10,31,22,33,57,64,53,77,87,45,48,13,491834
27-08-2017,31,9,33,23,34,61,59,53,77,63,45,48,15,458808
03-09-2017,32,25,34,27,0,63,67,53,82,55,47,47,16,500687
10-09-2017,42,22,35,29,26,55,81,54,87,53,49,50,13,470287
17-09-2017,36,45,41,32,10,59,74,54,83,35,40,48,13,435466
24-09-2017,62,32,38,39,0,64,73,56,92,40,42,53,13,582791
01-10-2017,43,36,38,32,36,68,84,64,94,41,47,48,19,558470
08-10-2017,36,24,39,26,46,64,77,57,85,42,45,63,17,543753
15-10-2017,49,12,42,31,28,62,78,59,98,46,42,60,13,543385
22-10-2017,57,11,40,32,32,70,73,64,90,44,54,71,14,508535
29-10-2017,48,19,45,29,38,65,75,64,84,44,48,55,16,455181
05-11-2017,47,22,39,31,21,69,77,65,96,44,56,71,15,463596
12-11-2017,49,21,42,31,19,60,68,60,85,56,49,57,13,487002
19-11-2017,47,22,43,30,35,67,77,64,97,57,57,55,15,521478
26-11-2017,59,17,42,33,33,67,81,65,96,55,54,60,15,469477
03-12-2017,42,13,45,29,66,66,77,63,88,55,50,70,14,491456
10-12-2017,62,11,39,31,40,68,79,60,90,50,50,79,12,489658
17-12-2017,41,34,43,29,42,70,81,67,100,61,58,78,12,506834
24-12-2017,45,37,61,55,59,74,72,65,93,45,60,67,12,601862
31-12-2017,32,14,45,34,19,62,60,59,82,49,55,55,14,465949
07-01-2018,39,73,37,30,44,67,74,63,90,50,51,48,12,458844
14-01-2018,40,36,39,36,28,63,75,64,85,51,54,61,11,517346
21-01-2018,34,35,39,34,32,63,71,59,87,53,51,62,10,520066
28-01-2018,27,30,41,32,29,60,59,54,77,41,47,72,13,389270
04-02-2018,42,22,40,31,19,61,63,65,77,48,47,66,13,465255
11-02-2018,44,14,36,29,19,58,64,58,81,44,43,70,11,446727
18-02-2018,43,21,38,31,37,62,66,60,87,40,48,55,10,472327
25-02-2018,36,19,34,29,12,61,69,59,81,42,50,65,13,471675
04-03-2018,42,17,36,29,44,63,66,60,82,48,49,54,12,462562
11-03-2018,41,14,35,28,21,59,61,54,77,42,47,60,9,467984
18-03-2018,51,0,38,30,26,63,61,60,82,52,45,55,9,489501
25-03-2018,55,10,33,26,23,66,57,64,89,40,48,65,9,502528
01-04-2018,43,13,34,25,19,66,61,62,79,44,45,57,12,482642
08-04-2018,46,13,32,22,32,60,62,62,80,53,43,59,12,503758
15-04-2018,37,32,33,25,30,54,68,59,89,38,39,52,9,481977
22-04-2018,42,0,30,26,31,59,75,64,96,45,45,50,11,505540
29-04-2018,47,17,32,25,38,63,64,64,90,37,40,65,13,527014
06-05-2018,52,0,30,25,46,62,74,65,95,44,45,54,13,520466
13-05-2018,45,22,31,24,38,63,75,67,96,47,51,58,12,540392
20-05-2018,46,40,36,26,45,71,73,75,99,54,56,61,13,551637
27-05-2018,52,7,35,28,29,66,68,70,93,47,49,57,17,553427
03-06-2018,59,33,37,27,47,70,74,71,99,48,51,53,16,506914
10-06-2018,47,11,38,27,29,71,77,70,98,58,51,61,12,369278
17-06-2018,38,21,37,32,36,65,65,67,90,42,47,49,11,372129
24-06-2018,36,28,38,31,36,59,58,61,83,48,42,48,11,496172
01-07-2018,46,29,34,32,30,67,58,66,89,49,44,52,15,539397
08-07-2018,50,20,49,30,36,70,62,75,92,50,48,46,14,535759
15-07-2018,53,26,41,29,34,71,54,68,85,48,40,54,11,544531
22-07-2018,40,29,37,31,29,64,48,67,75,44,45,55,10,539795
29-07-2018,46,22,39,31,16,65,50,67,68,58,45,44,11,506914
05-08-2018,27,16,39,32,30,60,44,63,68,43,41,48,10,369278
12-08-2018,40,45,39,32,29,58,46,64,67,46,37,44,7,337425
19-08-2018,34,10,34,32,38,58,45,62,75,43,38,40,7,507668
26-08-2018,47,18,37,31,34,60,47,61,73,47,36,43,8,530351
02-09-2018,45,18,36,29,27,64,48,64,79,54,38,44,10,531933
09-09-2018,37,0,34,30,34,61,42,57,71,91,36,36,10,482551
16-09-2018,36,15,41,31,20,66,46,60,80,56,34,41,8,553386
23-09-2018,47,0,37,30,18,59,46,60,80,46,37,50,8,602226
30-09-2018,47,23,42,31,34,68,46,64,73,49,38,51,12,573189
07-10-2018,35,8,37,28,19,60,44,58,77,41,33,33,10,555514
14-10-2018,29,14,37,38,27,68,54,60,83,53,38,36,8,541885
21-10-2018,38,17,38,32,31,59,48,64,73,51,43,36,8,505859
28-10-2018,29,21,36,38,31,59,42,62,65,47,36,41,12,474246
04-11-2018,36,19,38,41,30,71,50,58,84,50,38,41,12,451566
11-11-2018,40,7,41,35,29,68,48,66,81,43,40,48,9,478072
18-11-2018,41,14,38,42,30,68,50,66,79,57,48,55,10,512212
25-11-2018,38,11,37,37,12,62,43,67,74,50,44,50,10,505786
02-12-2018,36,7,37,38,37,68,43,65,73,54,44,51,13,498651
09-12-2018,42,21,51,38,31,67,50,68,74,49,41,48,13,504812
16-12-2018,44,36,38,57,34,81,51,66,82,54,47,51,12,502685
23-12-2018,61,0,39,38,38,72,52,71,86,57,51,44,10,553590
30-12-2018,38,10,37,41,33,65,46,71,66,54,41,60,13,481490
06-01-2019,39,0,34,37,21,62,53,66,71,53,43,42,12,460072
13-01-2019,48,23,32,40,47,64,55,67,81,59,40,42,10,534163
20-01-2019,42,13,36,32,39,72,56,65,78,49,40,54,10,512136
27-01-2019,39,0,37,37,32,64,42,67,64,46,39,53,14,449179
03-02-2019,41,23,35,36,27,67,45,60,71,41,41,50,15,463258
10-02-2019,41,12,34,36,29,61,46,65,62,46,41,51,11,504550
17-02-2019,50,0,32,36,36,62,45,59,65,51,40,63,10,500093
24-02-2019,54,6,30,31,38,59,41,61,64,45,36,64,14,496766
03-03-2019,48,11,31,30,29,62,46,58,64,42,41,52,15,472918
10-03-2019,46,6,30,34,20,62,43,58,64,35,37,66,11,493730
17-03-2019,48,0,34,32,44,64,47,58,71,48,41,51,9,486685
24-03-2019,41,15,34,30,23,54,39,64,59,36,36,50,8,476007
31-03-2019,39,11,28,31,18,61,40,55,61,41,37,42,17,532262
07-04-2019,54,13,28,27,36,62,49,56,73,34,37,49,13,498630
14-04-2019,54,9,30,28,47,62,49,59,67,35,41,49,10,436036
21-04-2019,42,14,30,31,33,62,52,60,78,49,43,59,10,475554
28-04-2019,65,0,24,28,26,62,48,60,71,42,42,49,14,498281
05-05-2019,48,0,27,31,43,67,52,62,81,49,49,52,14,500093
12-05-2019,56,11,24,30,29,68,54,65,81,53,51,44,10,508249
19-05-2019,46,0,26,25,40,65,46,68,72,45,44,53,9,466858
26-05-2019,61,14,31,28,41,67,54,64,81,44,50,55,11,503816
02-06-2019,66,17,30,31,33,69,52,68,83,52,49,50,16,535114
09-06-2019,54,13,29,33,34,74,51,71,80,50,51,48,15,589086
16-06-2019,48,17,31,34,35,65,45,70,73,52,47,51,11,579191
23-06-2019,53,11,32,35,47,62,50,64,72,41,43,52,10,575583
30-06-2019,50,0,36,32,25,67,48,68,72,45,45,47,14,541238
07-07-2019,56,10,34,33,48,72,51,63,77,51,49,46,15,554337
14-07-2019,62,18,34,35,38,68,57,66,80,50,51,56,12,506672
21-07-2019,76,27,27,33,29,67,45,71,75,51,48,49,12,569132
28-07-2019,53,10,32,37,24,68,46,68,80,55,52,47,16,537962
04-08-2019,50,7,32,33,30,65,47,70,75,56,49,53,14,558603
11-08-2019,54,22,36,35,56,74,54,71,82,66,52,45,11,605358
18-08-2019,54,17,28,34,37,65,49,72,64,46,44,59,10,566191
25-08-2019,41,17,30,32,23,61,46,67,66,61,48,50,10,484585
01-09-2019,45,22,31,28,28,61,43,66,59,94,42,50,15,497362
08-09-2019,56,20,37,30,33,67,48,57,67,63,49,42,16,538354
15-09-2019,40,13,32,32,39,61,43,64,71,47,42,56,13,546026
22-09-2019,45,11,36,28,41,59,39,62,71,34,42,43,11,542886
29-09-2019,42,28,36,37,54,68,52,61,75,43,40,42,13,585893
06-10-2019,51,20,32,38,30,72,50,63,80,51,44,47,15,649775
13-10-2019,46,8,32,33,21,62,41,64,64,42,43,48,11,576031
20-10-2019,39,9,28,33,27,59,40,60,59,46,39,59,10,458250
27-10-2019,56,10,33,38,41,71,46,57,71,45,47,45,13,544152
03-11-2019,50,10,37,35,47,65,43,62,72,45,52,57,15,493111
10-11-2019,66,27,43,37,43,68,47,60,73,52,52,53,11,495282
17-11-2019,64,7,38,38,35,64,47,66,78,60,53,63,12,519242
24-11-2019,59,22,34,35,45,67,47,66,72,51,56,68,15,505120
01-12-2019,50,13,46,32,40,71,43,66,64,46,49,57,19,501263
08-12-2019,61,11,44,36,46,74,48,64,69,65,53,60,19,501308
15-12-2019,46,17,33,36,46,78,49,68,73,65,56,67,14,500863
22-12-2019,76,26,36,37,72,75,48,66,75,69,63,74,16,477601
29-12-2019,58,16,53,42,39,69,43,70,73,54,56,97,21,522221
05-01-2020,44,25,30,60,54,75,47,67,73,47,56,70,20,517240
12-01-2020,50,9,41,35,64,68,50,65,74,59,49,56,11,565739
19-01-2020,48,20,32,32,33,59,48,63,69,56,51,62,13,495935
26-01-2020,50,8,45,33,33,62,41,61,66,51,44,60,12,513130
02-02-2020,53,0,36,33,34,62,47,57,68,51,48,56,18,497774
09-02-2020,64,17,28,28,27,65,43,62,70,44,49,74,18,507219
16-02-2020,58,0,35,31,33,68,45,64,65,46,53,77,12,525810
23-02-2020,56,22,34,36,53,69,44,62,70,54,49,100,12,489201
01-03-2020,54,13,26,34,24,62,42,65,63,43,45,70,15,486229
08-03-2020,42,0,30,32,48,62,39,64,55,41,42,70,16,446003
15-03-2020,19,0,24,28,26,61,25,56,32,26,23,53,12,319360
22-03-2020,4,11,28,27,10,32,6,53,8,16,11,37,5,277657
29-03-2020,0,20,33,25,5,27,4,32,6,10,9,16,5,260725
05-04-2020,4,25,35,27,0,23,2,27,6,27,9,8,4,243794
12-04-2020,0,10,28,26,0,22,3,23,4,15,9,14,4,226863
19-04-2020,8,17,36,28,0,23,1,23,4,6,7,8,3,209931
26-04-2020,6,0,18,31,0,20,2,21,6,11,8,19,3,193000
03-05-2020,4,0,20,28,0,22,1,21,6,13,11,10,3,176069
10-05-2020,10,9,19,28,0,23,6,23,9,8,12,12,4,159138
17-05-2020,8,21,23,31,0,25,6,25,8,16,13,13,7,142206
24-05-2020,2,7,22,33,0,33,7,30,6,11,15,7,10,125275
31-05-2020,9,17,22,34,10,27,6,34,8,12,17,12,11,108344
07-06-2020,14,0,24,34,0,41,8,30,8,21,18,13,16,91412
14-06-2020,3,6,27,31,0,32,5,36,5,15,14,22,9,74481
21-06-2020,9,7,28,34,6,30,5,32,6,17,16,24,11,72546
28-06-2020,6,14,26,37,9,35,4,34,7,19,15,22,16,77448
05-07-2020,2,9,24,34,12,26,3,33,4,22,16,20,9,68001
12-07-2020,4,26,26,35,0,29,3,34,4,11,16,15,7,50687
19-07-2020,6,13,24,32,0,30,4,34,4,17,15,20,7,35630
26-07-2020,10,31,25,30,0,27,4,37,4,18,16,26,7,41792
02-08-2020,6,7,24,32,0,30,5,38,4,17,18,15,7,49146
09-08-2020,4,0,18,31,18,32,3,34,5,19,16,18,7,56134
16-08-2020,8,0,21,28,9,26,6,39,5,46,15,17,7,57967
23-08-2020,12,18,21,28,5,30,5,38,7,39,21,24,11,64513
30-08-2020,10,6,24,33,21,36,6,41,8,34,22,23,11,84927
06-09-2020,10,6,30,36,5,42,10,42,11,34,28,35,15,84279
13-09-2020,16,5,32,40,22,43,8,45,11,31,25,42,13,88223
20-09-2020,8,11,34,35,17,52,10,47,11,28,27,44,23,96675
27-09-2020,16,17,28,41,20,46,10,46,11,41,28,36,20,123847
04-10-2020,9,20,26,34,28,49,11,48,12,37,32,47,24,127783
11-10-2020,14,0,26,33,15,35,11,49,13,32,28,44,13,123521
18-10-2020,12,14,26,33,26,41,9,45,11,25,23,47,14,122589
25-10-2020,22,18,28,42,27,59,16,40,18,35,32,36,33,151221
01-11-2020,14,19,26,38,26,42,14,52,19,35,31,48,14,195545
08-11-2020,19,9,29,38,25,41,15,50,18,35,38,47,13,184577
15-11-2020,25,0,27,43,23,52,17,50,29,46,42,51,18,208774
22-11-2020,11,9,23,38,23,64,20,59,20,32,43,75,24,202296
29-11-2020,25,0,26,37,29,81,21,60,24,40,41,56,57,197639
06-12-2020,32,5,28,38,32,71,25,63,29,44,47,71,53,228689
13-12-2020,41,14,40,38,70,64,19,63,32,56,53,67,24,250777
20-12-2020,25,22,24,66,38,71,19,60,27,55,47,70,26,264114
27-12-2020,33,10,25,44,45,80,23,60,36,57,54,69,40,300566
03-01-2021,30,22,26,36,40,65,19,65,32,48,55,72,18,256728
10-01-2021,33,26,24,45,42,64,22,62,36,56,55,64,16,254632
17-01-2021,50,22,28,40,52,82,34,62,44,67,71,63,38,291443
24-01-2021,44,24,24,41,41,68,29,71,42,69,63,67,19,332507
31-01-2021,29,17,26,40,46,62,26,69,41,60,66,77,19,329583
07-02-2021,42,14,25,38,46,68,29,66,41,59,63,68,21,356658
14-02-2021,51,15,26,38,37,87,28,65,42,76,67,73,38,372858
